 time            V("/vd1")       V("/vd2")       V("/vcont")     V("/vload")    
 2.51280000e+00  4.99467130e+00  1.00536678e+00  8.86967200e+01  9.26180207e-11 
 2.52280000e+00  4.99467127e+00  1.00536697e+00  8.90457200e+01  5.16965290e-11 
 2.53280000e+00  4.99467130e+00  1.00536678e+00  8.93947200e+01  9.24402153e-11 
 2.54280000e+00  4.99467127e+00  1.00536697e+00  8.97437200e+01  5.18753982e-11 
 2.55280000e+00  4.99467130e+00  1.00536678e+00  9.00927200e+01  9.23447185e-11 
 2.56280000e+00  4.99467127e+00  1.00536697e+00  9.04417200e+01  5.19270216e-11 
 2.57280000e+00  4.99467130e+00  1.00536678e+00  9.07907200e+01  9.21727759e-11 
 2.58280000e+00  4.99467127e+00  1.00536697e+00  9.11397200e+01  5.21582068e-11 
 2.59280000e+00  4.99467130e+00  1.00536678e+00  9.14887200e+01  9.20083324e-11 
 2.60280000e+00  4.99467126e+00  1.00536697e+00  9.18377200e+01  5.22226771e-11 
 2.61280000e+00  4.99467130e+00  1.00536678e+00  9.21867200e+01  9.19521744e-11 
 2.62280000e+00  4.99467126e+00  1.00536697e+00  9.25357200e+01  5.23221332e-11 
 2.63280000e+00  4.99467130e+00  1.00536678e+00  9.28847200e+01  9.18442707e-11 
 2.64280000e+00  4.99467126e+00  1.00536698e+00  9.32337200e+01  5.24299448e-11 
 2.65280000e+00  4.99467130e+00  1.00536678e+00  9.35827200e+01  9.18033715e-11 
 2.66280000e+00  4.99467126e+00  1.00536698e+00  9.39317200e+01  5.24763186e-11 
 2.67280000e+00  4.99467130e+00  1.00536678e+00  9.42807200e+01  9.16673409e-11 
 2.68280000e+00  4.99467126e+00  1.00536698e+00  9.46297200e+01  5.25915931e-11 
 2.69280000e+00  4.99467130e+00  1.00536678e+00  9.49787200e+01  9.15752295e-11 
 2.70280000e+00  4.99467126e+00  1.00536698e+00  9.53277200e+01  5.27447793e-11 
 2.71280000e+00  4.99467130e+00  1.00536678e+00  9.56767200e+01  9.13913621e-11 
 2.72280000e+00  4.99467126e+00  1.00536698e+00  9.60257200e+01  5.29401040e-11 
 2.73280000e+00  4.99467129e+00  1.00536678e+00  9.63747200e+01  9.10744192e-11 
 2.74280000e+00  4.99467126e+00  1.00536698e+00  9.67237200e+01  5.32801132e-11 
 2.75280000e+00  4.99467129e+00  1.00536678e+00  9.70727200e+01  9.08984107e-11 
 2.76280000e+00  4.99467126e+00  1.00536698e+00  9.74217200e+01  5.34094680e-11 
 2.77280000e+00  4.99467129e+00  1.00536678e+00  9.77707200e+01  9.07396837e-11 
